TRY,0.2969
THB,0.0281
HKD,0.1289
SGD,0.7251
BND,0.7033
GMD,0.0239
LKR,0.0067
AUD,0.7357
CAD,0.7451
IDR,0.0001
MYR,0.2282
PKR,0.0096
CHF,0.9892
JPY,0.0090
GBP,1.2482
EUR,1.0605
YER,0.0040
AED,0.2723
TND,0.4373
SYP,0.0019
SDG,0.1543
SAR,0.2666
QAR,0.2747
OMR,2.5981
MAD,0.0996
LYD,0.7020
LBP,0.0007
KWD,3.2841
JOD,1.4130
IQD,0.0009
IRR,0.0000
EGP,0.0588
BHD,2.6532
DZD,0.0090
NZD,0.7054
RUB,0.0156
BTC,736.7300
