2017-01-11 21:52:21,352 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.progressoft.jip.payment:payment-core:0.0.1-SNAPSHOT @ C:\Users\u623\Desktop\payment-system\payment-parent\payment-core\pom.xml.
2017-01-11 21:52:21,614 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.progressoft.jip.payment:payment-date-rules:0.0.1-SNAPSHOT @ C:\Users\u623\Desktop\payment-system\payment-parent\payment-date-rules\pom.xml.
2017-01-11 21:52:21,768 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.progressoft.jip.payment:payment-main:0.0.1-SNAPSHOT @ C:\Users\u623\Desktop\payment-system\payment-parent\payment-main\pom.xml.
2017-01-11 21:52:21,925 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.progressoft.jip.payment:payment-web:0.0.1-SNAPSHOT @ C:\Users\u623\Desktop\payment-system\payment-parent\payment-web\pom.xml.
2017-01-11 21:52:24,124 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /payment-core/src/main/java
2017-01-11 21:52:24,124 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /payment-core/src/main/resources
2017-01-11 21:52:24,126 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /payment-core/src/test/java
2017-01-11 21:52:24,261 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /payment-date-rules/src/main/java
2017-01-11 21:52:24,261 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /payment-date-rules/src/main/resources
2017-01-11 21:52:24,262 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /payment-date-rules/src/test/java
2017-01-11 21:52:24,375 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /payment-main/src/main/java
2017-01-11 21:52:24,375 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /payment-main/src/test/java
2017-01-11 21:52:24,439 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /payment-web/src/main/java
2017-01-11 21:52:24,440 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /payment-web/src/test/java
2017-01-11 21:52:26,338 [Worker-14] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for payment-web
2017-01-11 21:52:26,345 [Worker-14] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 6 sec
2017-01-11 21:52:27,887 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-11 21:52:27,890 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2017-01-11 21:52:27,936 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-11 21:52:27,937 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\u623\Desktop\payment-system\payment-parent\payment-core\src\test\resources
2017-01-11 21:52:29,024 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-11 21:52:29,025 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-11 21:52:29,033 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-11 21:52:29,034 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\u623\Desktop\payment-system\payment-parent\payment-date-rules\src\test\resources
2017-01-11 21:52:29,355 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-11 21:52:29,356 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\u623\Desktop\payment-system\payment-parent\payment-main\src\main\resources
2017-01-11 21:52:29,358 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-11 21:52:29,359 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\u623\Desktop\payment-system\payment-parent\payment-main\src\test\resources
2017-01-11 21:52:30,215 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-11 21:52:30,216 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\u623\Desktop\payment-system\payment-parent\payment-web\src\main\resources
2017-01-11 21:52:30,218 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-11 21:52:30,219 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\u623\Desktop\payment-system\payment-parent\payment-web\src\test\resources
2017-01-11 21:52:30,219 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of payment-web
2017-01-11 21:52:30,220 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for payment-web
2017-01-11 21:52:30,388 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-11 21:53:38,655 [Worker-11] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\u623\Desktop\payment-system\payment-parent
2017-01-11 21:53:38,655 [Worker-11] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2017-01-11 21:53:42,263 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-11 21:53:42,273 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2017-01-11 21:53:42,308 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-11 21:53:42,309 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\u623\Desktop\payment-system\payment-parent\payment-core\src\test\resources
